N° Día,Fecha,Despertadas,Despierto,Dormirse,Hora de despertar,Hora de dormir,Horas de sueño,Horas de sueño (hs),Levantarse,Ligero,Profundo,REM
1,30/03/2022,0,0,49,"37500,00000","34028,000000",8.18,5.680.556,540,5.32,1.55,1.31
2,29/03/2022,1,0.25,74,"39306,00000","51389,000000",7.95,5.520.833,566,4.55,1.85,1.55
3,28/03/2022,0,0,34,"35417,00000","23611,000000",7.93,5.506.944,510,4.88,1.25,1.8
4,27/03/2022,0,0,244,"42083,00000","169444,000000",06.03,41.875,606,3.54,1.49,1
5,26/03/2022,0,0,150,"42847,00000","104167,000000",7.78,5.402.778,617,5.2,0.8,1.78
6,25/03/2022,1,0.03,148,"45000,00000","102778,000000",8.33,5.784.722,648,6.2,1,1.1
7,24/03/2022,0,0,73,"41667,00000","50694,000000",8.78,6.097.222,600,5.2,1.1,2.48
8,23/03/2022,0,0,68,"38125,00000","47222,000000",08.02,5.569.444,549,5.5,1.3,1.22
9,22/03/2022,0,0,65,"35347,00000","45139,000000",7.4,5.138.889,509,4.8,1.2,1.4
10,21/03/2022,0,0,77,"36597,00000","53472,000000",7.5,5.208.333,527,4.9,1.6,1
11,20/03/2022,0,0,214,"47986,00000","148611,000000",7.95,5.520.833,691,5.9,1.2,0.85
12,19/03/2022,0,0,150,"42361,00000","104167,000000",7.67,5.326.389,610,4.4,1.6,1.67
13,18/03/2022,1,0.1,117,"40069,00000","81250,000000",7.67,5.326.389,577,5.2,1.6,0.77
14,17/03/2022,0,0,93,"36528,00000","64583,000000",7.22,5.013.889,526,5.15,0.95,1.12
15,16/03/2022,2,0.33,30,"37083,00000","20833,000000",8.4,5.833.333,534,5,1.35,1.72
16,15/03/2022,0,0,45,"35417,00000","31250,000000",7.75,5.381.944,510,5.2,1.2,1.4
17,14/03/2022,0,0,59,"37708,00000","40972,000000",08.07,5.604.167,543,5.75,0.98,1.34
18,13/03/2022,0,0,151,"47014,00000","104861,000000",8.77,6.090.278,677,5.7,1.8,1.27
19,12/03/2022,0,0,201,"36042,00000","139583,000000",5.3,3.680.556,519,3.55,1,0.75
20,11/03/2022,0,0,94,"38264,00000","65278,000000",7.62,5.291.667,551,4.9,1.2,1.52
21,10/03/2022,0,0,121,"40000,00000","84028,000000",7.58,5.263.889,576,4.9,1.55,1.13
22,09/03/2022,0,0,107,"37569,00000","74306,000000",7.23,5.020.833,541,5.3,1.1,0.83
23,08/03/2022,0,0,90,"33194,00000","62500,000000",6.47,4.493.056,478,4,1.16,1.31
24,07/03/2022,0,0,74,"37708,00000","51389,000000",7.82,5.430.556,543,5.75,0.9,1.17
25,06/03/2022,2,0.05,374,"52292,00000","259722,000000",6.32,4.388.889,753,3,1,1
26,05/03/2022,0,0,93,"42500,00000","64583,000000",8.65,6.006.944,612,5.25,2.3,1.1
27,04/03/2022,0,0,113,"40139,00000","78472,000000",7.75,5.381.944,578,4.9,1.4,1.45
28,03/03/2022,0,0,46,"39792,00000","31944,000000",8.78,6.097.222,573,6.5,1.15,1.13
29,02/03/2022,2,0.05,166,"40000,00000","115278,000000",6.83,4.743.056,576,4,1.3,1.48
30,01/03/2022,0,0,151,"44722,00000","104861,000000",8.22,5.708.333,644,5.2,1.5,1.52
31,28/02/2022,0,0,100,"42014,00000","69444,000000",8.42,5.847.222,605,4.4,2.1,1.92
32,27/02/2022,1,0.27,311,"51181,00000","215972,000000",7.1,4.930.556,737,4,1.3,1.53
33,26/02/2022,0,0,283,"47639,00000","196528,000000",6.72,4.666.667,686,4.7,1,01.02
34,25/02/2022,2,0.83,106,"40000,00000","73611,000000",7.83,54.375,576,4.2,1.3,1.5
35,24/02/2022,0,0,94,"40486,00000","65278,000000",8.15,5.659.722,583,4.8,1.55,1.8
36,23/02/2022,0,0,98,"37708,00000","68056,000000",7.42,5.152.778,543,5.5,1.1,0.82
37,22/02/2022,0,0,107,"39653,00000","74306,000000",7.73,5.368.056,571,5.1,1.15,1.48
38,21/02/2022,0,0.02,71,"39792,00000","49306,000000",8.37,58.125,573,5.4,1.9,01.05
39,20/02/2022,0,0,382,"47917,00000","265278,000000",5.13,35.625,690,3.15,0.95,01.03
40,19/02/2022,0,0,80,"42014,00000","55556,000000",8.75,6.076.389,605,5,1.9,1.85
41,18/02/2022,0,0,172,"41319,00000","119444,000000",07.05,4.895.833,595,4.5,1.15,1.4
42,17/02/2022,0,0,143,"35625,00000","99306,000000",6.17,4.284.722,513,3.5,1.2,1.47
43,16/02/2022,0,0,109,"39514,00000","75694,000000",7.67,5.326.389,569,4.9,1.55,1.22
44,15/02/2022,0,0,118,"43056,00000","81944,000000",8.37,58.125,620,5.2,1.5,1.67
45,14/02/2022,0,0,142,"45972,00000","98611,000000",8.67,6.020.833,662,4.4,2.1,2.17
46,13/02/2022,0,0,262,"51458,00000","181944,000000",7.98,5.541.667,741,4.9,1.5,1.58
47,12/02/2022,2,0.3,63,"42014,00000","43750,000000",09.03,6.270.833,605,5.5,1.9,1.33
48,11/02/2022,0,0,151,"48125,00000","104861,000000",09.03,6.270.833,693,5.7,1.8,1.53
49,10/02/2022,0,0,49,"40625,00000","34028,000000",8.93,6.201.389,585,5.3,2.2,1.43
50,09/02/2022,1,0.08,280,"47917,00000","194444,000000",6.83,4.743.056,690,3.8,2,0.95
51,08/02/2022,0,0,151,"42431,00000","104861,000000",7.67,5.326.389,611,5.2,1.5,0.97
52,07/02/2022,0,0,100,"50694,00000","69444,000000",10.5,7.291.667,730,5.2,3.8,1.5
53,06/02/2022,0,0,442,"55625,00000","306944,000000",5.98,4.152.778,801,3.15,0.95,1.88
54,05/02/2022,0,0,80,"42014,00000","55556,000000",8.75,6.076.389,605,5,1.9,1.85
55,04/02/2022,0,0,270,"48125,00000","187500,000000",07.05,4.895.833,693,3.4,1.8,1.85
56,03/02/2022,0,0,90,"43750,00000","62500,000000",9,625,630,5.3,2.35,1.35
57,02/02/2022,1,0.08,280,"47917,00000","194444,000000",6.83,4.743.056,690,3.8,2,0.95
58,01/02/2022,0,0,136,"39097,00000","94444,000000",7.12,4.944.444,563,4.2,1.35,1.57
59,31/01/2022,0,0,100,"42014,00000","69444,000000",8.42,5.847.222,605,4.4,2.1,1.92
60,30/01/2022,1,0.1,405,"51181,00000","281250,000000",5.53,3.840.278,737,3.2,1.3,0.93